player,born,full_name,debut,last_odi,matches,innings,not_outs,runs,highest,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps,b_matches,b_innings,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts,five_wkts,ten_wkts,country,profile
GS Chappell,"August 7, 1948, Unley, Adelaide, South Australia",Gregory Stephen Chappell,"Australia v England at Melbourne, Jan 5, 1971","Sri Lanka v Australia at Colombo (SSC), Apr 30, 1983",74,72,14,2331,138*,40.18,3079,75.7,3,14,195,7,23,0,74,67,3108,2097,72,May-15,May-15,29.12,4.04,43.1,0,2,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
IM Chappell,"September 26, 1943, Unley, Adelaide, South Australia",Ian Michael Chappell,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Sydney, Jan 14, 1980",16,16,2,673,86,48.07,874,77,0,8,74,7,5,0,16,2,42,23,2,Feb-14,Feb-14,11.5,3.28,21,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AN Connolly,"June 29, 1939, Skipton, Victoria",Alan Norman Connolly,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,62,0,0,0,0,5.81,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
WM Lawry,"February 11, 1937, Thornbury, Melbourne, Victoria",William Morris Lawry,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,1,0,27,27,27,49,55.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GD McKenzie,"June 24, 1941, Cottesloe, Perth, Western Australia",Graham Douglas McKenzie,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,60,22,2,Feb-22,Feb-22,11,2.2,30,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AA Mallett,"July 13, 1945, Chatswood, Sydney, New South Wales",Ashley Alexander Mallett,"Australia v England at Melbourne, Jan 5, 1971","Australia v West Indies at Adelaide, Dec 20, 1975",9,3,1,14,8,7,36,38.88,0,0,1,0,4,0,9,9,502,341,11,Mar-34,Mar-34,31,4.07,45.6,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RW Marsh,"November 4, 1947, Armadale, Perth, Western Australia",Rodney William Marsh,"Australia v England at Melbourne, Jan 5, 1971","Australia v West Indies at Melbourne, Feb 12, 1984",92,76,15,1225,66,20.08,1489,82.26,0,4,86,17,120,4,92,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
IR Redpath,"May 11, 1941, Geelong, Victoria",Ian Ritchie Redpath,"Australia v England at Melbourne, Jan 5, 1971","Australia v West Indies at Adelaide, Dec 20, 1975",5,5,0,46,24,9.2,67,68.65,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
KR Stackpole,"July 10, 1940, Collingwood, Melbourne, Victoria",Keith Raymond Stackpole,"Australia v England at Melbourne, Jan 5, 1971","New Zealand v Australia at Christchurch, Mar 31, 1974",6,6,0,224,61,37.33,387,57.88,0,3,28,0,1,0,6,2,77,54,3,Mar-40,Mar-40,18,4.2,25.6,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AL Thomson,"December 2, 1945, Reservoir, Victoria",Alan Lloyd Thomson,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,22,1,Jan-22,Jan-22,22,2.06,64,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
KD Walters,"December 21, 1945, Marshdale, Dungog, New South Wales",Kevin Douglas Walters,"Australia v England at Melbourne, Jan 5, 1971","Australia v New Zealand at Sydney, Feb 3, 1981",28,24,6,513,59,28.5,732,70.08,0,2,37,0,10,0,28,10,314,273,4,Feb-24,Feb-24,68.25,5.21,78.5,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
R Edwards,"December 1, 1942, Cottesloe, Perth, Western Australia",Ross Edwards,"England v Australia at Manchester, Aug 24, 1972","Australia v West Indies at Lord's, Jun 21, 1975",9,8,1,255,80*,36.42,349,73.06,0,3,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
